,content
358,"Cary,Here is the picture of the house I have in mind.  I was going for a simplefarmhouse style to  place on 5 acres near Wimberley.There will be a double porch across the back just like the frontNo dormers (Metal roof)1/2 bath under stairsOverall dimensions are 55 by 40What I am looking for is a little design help in the kitchen.  More cabinets,maybe a different shaped island, and a way to enlarge the pantry.    Reagansuggested that I find a way to make the exterior more attractive.  I want tokeep a simple roof line to avoid leaks, but I was thinking about bringing theleftside forward in the front of the house and place 1 gable in the front.  Thatmight look good if the exterior was stone and stucco.  Also the front porchwouldbe smaller.I have 3 bids from builders all around $325,000.  I am ready to go ahead andhave the plans done so I can spec out all the finishings and choose a builder.I just wanted to give you the opportunity to do the work.  As I mentioned myalternative is $0.60/ft.  I thought that since I had a such a detailedsketch, you might consider the job for less than the $6,000 that Reaganallowed.Phillip Allen713-853-7041Hunter S Shively"
359,no problem
360,"Reagan,Thank you for the quick response on the bid for the residence.  Below is a1.  Is the framing Lumber #2 yellow pine?  Wouldn't fir or spruce warp lessand cost about the same?2.  What type of floor joist would be used?  2x12 or some sort of factoryjoist?3.  What type for roof framing?  On site built rafters? or engineered trusses?4.  Are you planning for insulation between floors to dampen sound?  Whattype of insulation in floors and ceiling?  Batts or blown?  Fiberglass orCellulose?5.  Any ridge venting or other vents (power or turbine)?6. Did you bid for interior windows to have trim on 4 sides?  I didn't knowthe difference between an apron and a stool.7.  Do you do anything special under the upstairs tile floors to preventcracking?  Double plywood or hardi board underlay?8.  On the stairs, did you allow for a bannister?  I was thinking a partialone out of iron.  Only about 5 feet.9.  I did not label it on the plan, but I was intending for a 1/2 bath underthe stairs. A pedestal sink would probably work.10.  Are undermount sinks different than drop ins?  I was thinking undermountstainless in kitchen and undermount cast iron in baths.11.  1 or 2 A/C units?  I am assuming 2.12.  Prewired for sound indoors and outdoors?13.  No door and drawer pulls on any cabinets or just bath cabinets?14.  Exterior porches included in bid?  Cedar decking on upstairs?  Ironrailings?15.  What type of construction contract would you use?  Fixed price exceptfor change orders?I want to get painfully detailed with the specs before I make a decision butthis is a start.  I think I am ready to get plans drawn up.  I am going tocall Cary Kipp tosee about setting up a design meeting to see if I like his ideas.PhillipI"
361,"Larry,Jacques has sent a document to Claudia for your review.  Just dropping you aline to confirm that you have seen it.Phillip"
362,"Lucy,1.  Neil Moreno in #21-he paid $120 on 11/24, but did not pay anything on12/01.  Even if he wants to swich to bi-weekly, he needs to pay at thebeginningof the two week period.  What is going on?2.  Gilbert in #27-is he just late?Here is a file for 12/08."
363,"Jacques,Would it be ok if I signed new consulting agreements with the engineer andarchitect?  They have both sent me agreements.  The only paymentthat George and Larry had made was $2,350 to the architect.  I have writtenpersonal checks in the amounts of $25,000 to the architect and $13,950 to theengineer.I was wondering if the prior work even needs to be listed as an asset of thepartnership.I would like for the agreements with these consultants to be with thepartnership not with me.  Should I wait until the partnership has beenconveyed to sign in the name of the partnership.Let me know what you think.Phillip"
364,Hunter S Shively
365,Hunter S Shively
366,"Greg,Cost per square foot seem too low for construction $33.30/sf (gross)/$36/sf(rentable)What do the cost for On-Site General Requirements ( $299,818) represent?Will you review the builders profit and fees with me again?  You mentioned 2%overhead, 3 %  ???, and 5% profit.Why is profit only 4%?Why are the architect fees up to $200K.  I thought they would be $80K.What is the $617K of profit allowance?  Is that the developers profit toboost loan amount but not a real cost?Total Closing and Application costs of 350K?  That seems very high?  Whoreceives the 2 points?  How much will be sunk costs if FHA declines us?Where is your 1%?  Are you receiving one of the points on the loan?What is the status on the operating pro forma?  My back of the envelope putsNOI at $877K assuming 625/1BR, 1300/3BR, 950/2BR, 5% vacancy, and 40%expenses.  After debt service that would only leave $122K.  The coveragewould only be 1.16.Talk to you this afternoon.Phillip"
367,"Grif,Please provide a temporary idPhillipHi Phillip,It's that time of month again, if you could be so kind.Thanks,Dexter*****************************Dexter SteisExecutive PublisherIntelligence Press, Inc.22648 Glenn Drive Suite 305Sterling, VA 20164******************************>Dexter,>>You should receive a guest id shortly.>>Phillip"
368,"John,Mike is fine with signing a new contract (subject to reading the terms, ofcourse).  He prefers to set strikes over a 3 month period.  His existingcontract pays him a retention payment of $55,000 in the next week.  He stillwants to receive this payment.Phillip"
369,"Reagan,Here is a photograhph of the house I have in mind.Stained and scored concrete floors downstairsWood stairsTwo story porches on front and rearGranite counters in kitchens and bathsTile floors in upstairs bathsMetal roof w/ gutters (No dormers)Cherry or Maple cabinets in kitchen & bathsSolid wood interior doorsWindows fully trimmedCrown molding in downstairs living areas2x6 wall on west sideVinyl or Aluminum windowsWood or carpet in upstairs bedrooms and game roomExterior stucco w/ stone apron and window trim  or rough white brick on 3-4sidesI have faxed you the floor plans.  The dimensions may be to small to read.The overall dimensions are 55' X 40'.  For a total of 4400 sq ft under roof,butonly 3800 of livable space after you deduct the garage.Are there any savings in the simplicity of the design?  It is basically abox with a simple roofline.  Call me if you have any questions. 713-853-7041.PhillipHunter S Shively"
370,"Greg,Something that I forgot to ask you.  Do you know if Hugo is planning toreplatt using an administrative process which I understand is quicker thanthe full replatting process of 3 weeks?Also let me know about the parking.  The builder in San Marcos believed theplan only had 321 parking spots but would require 382 by code.  The townhomesacross the street have a serious parking problem.  They probably planned forthe students to park in the garages but instead they are used as extra rooms.Phillip"
371,keith holst sent you an email with the details.
372,"Jacques,The agreement looks fine.   My only comment is that George and Larry mightobject to the language that ""the bank that was requested to finance theconstruction of the project declined to make the loan based on the high costsof the construction of the Project"".   Technically, that bank lowered theloan amount based on lower estimates of rents which altered the amount ofequity that would be required.Did I loan them $1,300,000?  I thought it was less.engineering completed, appraisal, and soils study.   Most of these items arein a state of partial completion by the consultants.  I have been speakingdirectly to the architect, engineer, and soils engineer.   I am unclear onwhat is the best way to proceed with these consultants.The obligations should include the fees owed to the consultants above.  Do weneed to list balances due or just list the work completed as an asset  andgive consideration of $5,875 for the cash paid to the engineer and appraisor.Phillip"
373,"Can you please review the following systems presented in this spreadsheet foryour group and let us know if you in fact use all these systems.  The WestGas includes West Gas Trading, West Gas Originations, and the Denver piececombined.  Also, we need for you to give us the breakout for the applicablegroups.  Please let me know if you have any questions.Tiffany Miller5-8485"
374,Hope this helps!  This is the current gas desk list that I have in mypersonal address book.  Call me with any questions.ErikaJames R Barker/HOU/EESBarend VanderHorst/HOU/EESJay Blaine/HOU/EESPaul Tate/HOU/EESAlain Diza/HOU/EESRhonda Smith/HOU/EESChristina Bangle/HOU/EESSherry Pendegraft/HOU/EESMarde L Driscoll/HOU/EESDaniel Salinas/HOU/EESSharon Hausinger/HOU/EESJoshua Bray/HOU/EESJames Wiltfong/HOU/EESMonica Roberts/HOU/EESLaura R Arnold/HOU/EESAmanda Boettcher/HOU/EESC Kyle Griffin/HOU/EESJess Hewitt/HOU/EESArtemio Muniz/HOU/EESEugene Zeitz/HOU/EESBrandon Whittaker/HOU/EESRoland Aguilar/HOU/EESRuby Robinson/HOU/EESRoger Reynolds/HOU/EESDavid Coolidge/HOU/EESJoseph Des Champs/HOU/EESKristann Shireman/HOU/EES
375,"Steve,Try bmckay@enron.com or Brad.McKay@enron.com"
376,"Larry,Jacques has been working with Claudia.  I will check his progress thismorning and let you know.Phillip"
377,"Greg,just a note to let you know I will be out of the office Wed(3/21) untilThurs(3/23).  The kids are on spring break.  I will be in San Marcos and youcan reach me on my cell phone 713-410-4679 or email pallen70@hotmail.com.I was planning on stopping by to see Hugo Elizondo on Thursday to drop off acheck and give him the green light to file for replatting.  What will changeif we want to try and complete the project in phases.  Does he need to changewhat he is going to submit to the city.I spoke to Gordon Kohutek this morning.  He was contracted to complete thesoils study.  He says he will be done with his report by the end of theweek.  I don't know who needs this report.  I told Gordon you might call toinquire about what work he performed. His number is 512-930-5832.We spoke on the phone about most of these issues.Talk to you later.Phillip"
378,"Jacques,Here is Larry Lewter's response to my request for more documentation tosupport the $15,000.  As you will read below, it is no longer an issue.  Ithink that was the last issue to resolve.PhillipPhillip, the title company held the $15,000 in escrow and it has beenreturned. It is no longer and issue.Larry-----Original Message-----Larrry,I realize you are disappointed about the project.  It is not my desire foryou to be left with out of pocket expenses.  The only item from your listthat I need furtherclarification is the $15,000 worth of extensions.  You mentioned that thiswas applied to the cost of the land and it actually represents your cashinvestment in the land.  I agree that you should be refunded any cashinvestment.  My only request is that you help me locate this amount on theclosing statement or on some other document.Phillip"
379,"Phillip,Barry had said that you were asking about getting a pivot table for the WSCCnew generation data.  I have set one up in the attached file.Please let me know if you want to go through it.  Also, please let me know ifthere are any discrepencies with the information you have.Phil"
380,"phillip.allen@enron.com, susan.scott@enron.com,theresa.staab@enron.comphillip.allen@enron.com, susan.scott@enron.com,theresa.staab@enron.comIn regards to your E-mail, I have recently been informed by Nicole that shewill be leaving Enron effective April 30.  This is unfortunate because shehas been a very valuable member of our team over the last few years and hasbeen instrumental in developing the Eastern Rockies trading business andproviding our customers with excellent service.  Nicole is not leaving to goto a competitor, but is going to spend more time with her family.  Given thisfact, you probably want to speed up the transition.Call me and we can discuss.MarkJay Reitmeyer@ECTCortez/NA/Enron@Enron, Theresa Staab/Corp/Enron@ENRON, MikeGrigsby/HOU/ECT@ECT, Phillip K Allen/HOU/ECT@ECTI would like to welcome Susan Scott to the West Desk and specifically to theEastern Rockies trading region.  The plan is for Susan to work with me inmoving the day trading activities from the Denver office to Houston.  Herspecific goals will be to take over activities performed by Nicole andTheresa while generating EOL products with me and in my absence.Susan is currently learning how to use EOL and Sitara.  She is also workingon understanding the grid and the relationship between all the differenttrading points from Opal to the mid-continent.My plan is to have Susan go to the Denver office during May bid-week (April22 - April 24).  I want her to be sitting with Nicole and Theresa duringbid-week to see and learn everything they do during that time.  I willprobably want Nicole and Theresa to come to Houston one more time to sit withus and the logistics team, maybe in early May.  Then, Susan and I will bothgo to Denver in late May or early June to meet industry people and tocomplete the transfer of operations to the Houston office.We can finalize these plans early next week and make all the correspondingreservations.Thank you,Jay"
381,"Ina,Can you help me approve this request?PhillipThis request has been pending your approval for  9 days.  Please clickApproval to review and act upon this request."
382,"Jacques,Still trying to close the loop on the $15,000 of extensions.  Assuming thatit is worked out today or tomorrow, I would like to get whatever documentsneed to becompleted to convey the partnership done.  I need to work with the engineerand architect to get things moving.  I am planning on  writing a personalcheck to the engineer while I am setting up new accounts.  Let me know ifthere is a reason I should not do this.Thanks for all your help so far.  Between your connections and expertise instructuring the loan, you saved us from getting into a bad deal.Phillip"
383,"Larrry,I realize you are disappointed about the project.  It is not my desire foryou to be left with out of pocket expenses.  The only item from your listthat I need furtherclarification is the $15,000 worth of extensions.  You mentioned that thiswas applied to the cost of the land and it actually represents your cashinvestment in the land.  I agree that you should be refunded any cashinvestment.  My only request is that you help me locate this amount on theclosing statement or on some other document.Phillip"
384,"Calif ISO, PUC Inspect Off-line Duke South Bay Pwr Plant, DJ Calif Regulators Visit AES,Dynegy Off-Line Power PlantsJeff RichterCalif ISO, PUC Inspect Off-line Duke South Bay Pwr Plant, DJ Calif Regulators Visit AES,Dynegy Off-Line Power PlantsAM ---------------------------Carla HoffmanRichter/HOU/ECT@ECT, Phillip Platter/HOU/ECT@ECT, Mike Swerzbin/HOU/ECT@ECT,Diana Scholtes/HOU/ECT@ECT, Sean Crandall/PDX/ECT@ECT, MattMotley/PDX/ECT@ECT, Mark Guzman/PDX/ECT@ECT, Tom Alonso/PDX/ECT@ECT, MarkFischer/PDX/ECT@ECT, Monica Lande/PDX/ECT@ECTCalif ISO, PUC Inspect Off-line Duke South Bay Pwr Plant, DJ Calif Regulators Visit AES,Dynegy Off-Line Power PlantsAM ---------------------------Enron Capital & Trade Resources Corp.Calif ISO, PUC Inspect Off-line Duke South Bay Pwr Plant, DJ Calif Regulators Visit AES,Dynegy Off-Line Power PlantsWed -Sources(This article was originally published Wednesday)LOS ANGELES (Dow Jones)--The California Independent System Operator paidabout $10 million Wednesday for 1,000 megawatts of power from Powerex andstill faced a massive deficit that threatened electricity reliability in thestate, high-ranking market sources familiar with the ISO's operation toldDow Jones Newswires.But the ISO fell short of ordering rolling blackouts Wednesday for the thirdconsecutive day.The ISO wouldn't comment on the transactions, saying it is sensitive marketinformation. But sources said Powerex, a subsidiary of British ColumbiaHydro & Power Authority (X.BCH), is the only energy company in the Northwestregion with an abundant supply of electricity to spare and the ISO paidabout $900 a megawatt-hour from the early afternoon through the evening.But that still wasn't enough juice.The Los Angeles Department of Water and Power sold the ISO 1,200 megawattsof power later in the day at the wholesale electricity price cap rate of$250/MWh. The LADWP, which is not governed by the ISO, needs 3,800 megawattsof power to serve its customers. It is free sell power instate above the$250/MWh price cap.The LADWP has been very vocal about the amount of power it has to spare. Themunicipal utility has also reaped huge profits by selling its excess powerinto the grid when supply is tight and prices are high. However, the LADWPis named as a defendant in a civil lawsuit alleging price gouging. The suitclaims the LADWP sells some of its power it gets from the federal BonnevillePower Administration, which sells hydropower at cheap rates, back into themarket at prices 10 times higher.Powerex officials wouldn't comment on the ISO power sale, saying alltransactions are proprietary. But the company also sold the ISO 1,000megawatts Tuesday - minutes before the ISO was to declare rolling blackouts- for $1,100 a megawatt-hour, market sources said.The ISO, whose main job is to keep electricity flowing throughout the stateno matter what the cost, started the day with a stage-two power emergency,which means its operating reserves fell to less than 5%. The ISO is havingto compete with investor-owned utilities in the Northwest that are willingto pay higher prices for power in a region where there are no price caps.The ISO warned federal regulators, generators and utilities Wednesday duringa conference call that it would call a stage-three power emergencyWednesday, but wouldn't order rolling blackouts. A stage three is declaredwhen the ISO's operating reserves fall to less than 1.5% and power isinterrupted on a statewide basis to keep the grid from collapsing.But ISO spokesman Patrick Dorinson said it would call a stage three only asa means of attracting additional electricity resources.""In order to line up (more power) we have to be in a dire situation,""Dorinson said.Edison International unit (EIX) Southern California Edison, Sempra Energyunit (SRE) San Diego Gas & Electric, PG&E Corp. (PCG) unit Pacific Gas &Electric and several municipal utilities in the state will share the cost ofthe high-priced power.SoCal Edison and PG&E are facing a debt of more than $6 billion due to highwholesale electricity costs. The utilities debt this week could grow bynearly $1 billion, analysts said. It's still unclear whether retailcustomers will be forced to pay for the debt through higher electricityrates or if companies will absorb the costs.-By Jason Leopold, Dow Jones Newswires; 323-658-3874;jason.leopold@dowjones.com(END) Dow Jones Newswires 07-12-001318GMT Copyright (c) 2000, Dow Jones & Company IncPwr Plant(This article was originally published Wednesday)LOS ANGELES (Dow Jones)--Representatives of the California IndependentSystem Operator and Public Utilities Commission inspected Duke EnergyCorp.'s (DUK) off-line 700-MW South Bay Power Plant in Chula Vista, Calif.,Wednesday morning, a Duke spokesman said.The ISO and PUC have been inspecting all off-line power plants in the statesince Tuesday evening to verify that those plants are shut down for thereasons generators say they are, ISO spokesman Pat Dorinson said.About 11,000 MW of power has been off the state's power grid since Monday,7,000 MW of which is off-line for unplanned maintenance, according to theISO.The ISO manages grid reliability.As previously reported, the ISO told utilities and the Federal EnergyRegulatory Commission Wednesday that it would call a stage three power alertat 5 PM PST (0100 GMT Thursday), meaning power reserves in the state woulddip below 1.5% and rolling blackouts could be implemented to avoid gridcollapse. However, the ISO said the action wouldn't result in rollingblackouts.The ISO and PUC also inspected Tuesday plants owned by Dynegy Inc (DYN),Reliant Energy Inc. (REI) and Southern Energy Inc (SOE).Duke's 1,500-MW Moss Landing plant was also inspected by PUC representativesin June, when some units were off-line for repairs, the Duke spokesman said.-By Jessica Berthold, Dow Jones Newswires; 323-658-3872;jessica.berthold@dowjones.com(END) Dow Jones Newswires 07-12-001317GMT Copyright (c) 2000, Dow Jones & Company IncPower Plants(This article was originally published Wednesday)By Jessica BertholdOf DOW JONES NEWSWIRESLOS ANGELES (Dow Jones)--AES Corp. (AES) and Dynegy Inc. (DYN) saidWednesday that representatives of California power officials had stopped bysome of their power plants to verify that they were off line for legitimatereasons.The California Independent System Operator, which manages the state's powergrid and one of its wholesale power markets, and the California PublicUtilities Commission began on-site inspections Tuesday night of all powerplants in the state reporting that unplanned outages have forced shutdowns,ISO spokesman Pat Dorinson said.The state has had 11,000 MW off the grid since Monday, 7,000 MW forunplanned maintenance. The ISO Wednesday called a Stage 2 power emergencyfor the third consecutive day, meaning power reserves were below 5% andcustomers who agreed to cut power in exchange for reduced rates may becalled on to do so.As reported earlier, Reliant Energy (REI) and Southern Energy Inc. (SOE)said they had been visited by representatives of the ISO and PUC Tuesdayevening.Representatives of the two organizations also visited plants owned by AESand Dynegy Tuesday evening.AES told the visitors they couldn't perform an unannounced full inspectionof the company's 450-megawatt Huntington Beach power station until Wednesdaymorning, when the plant's full staff would be present, AES spokesman AaronThomas said.Thomas, as well as an ISO spokesman, didn't know whether the representativesreturned Wednesday for a full inspection.AES Units Down Due To Expired Emissions CreditsThe Huntington Beach facility and units at two other AES facilities haveused up their nitrogen oxide, or NOx, emission credits. They were taken downtwo weeks ago in response to a request by the South Coast Air QualityManagement District to stay off line until emissions controls are deployed,Thomas said.AES has about 2,000 MW, or half its maximum output, off line. The entireHuntington plant is off line, as is 1,500 MW worth of units at its Alamitosand Redondo Beach plants.The ISO has asked AES to return its off line plants to operations, but AEShas refused because it is concerned the air quality district will fine thecompany $20 million for polluting.""We'd be happy to put our units back, provided we don't get sued for it,""Thomas said. ""It's not clear to us that the ISO trumps the air qualitydistrict's"" authority.As reported, a spokesman for the air quality district said Tuesday that AEScould have elected to buy more emission credits so that it could run its offline plants in case of power emergencies, but choose not to do so.Dynegy's El Segundo Plant Also Visited By PUCDynegy Inc. (DYN) said the PUC visited its 1,200 MW El Segundo plant Tuesdayevening, where two of the four units, about 600 MW worth, were off lineWednesday.""I guess our position is, 'Gee, we're sorry you don't believe us, but if youneed to come and take a look for yourself, that's fine,'"" said Dynegyspokesman Lynn Lednicky.Lednicky said one of the two units was off line for planned maintenance andthe other for unplanned maintenance on boiler feedwater pumps, which couldpose a safety hazard if not repaired.""We've been doing all we can to get back in service,"" Lednicky said. ""Weeven paid to have some specialized equipment expedited.""Lednicky added that the PUC seemed satisfied with Dynegy's explanation ofwhy its units were off line.-By Jessica Berthold, Dow Jones Newswires; 323-658-3872,jessica.berthold@dowjones.com(END) Dow Jones Newswires 07-12-001317GMT Copyright (c) 2000, Dow Jones & Company IncG_nther A. PergherSenior AnalystDow Jones & Company Inc.Tel.  609.520.7067Fax. 609.452.3531The information transmitted is intended only for the person or entity towhich it is addressed and may contain confidential and/or privilegedmaterial.  Any review, retransmission, dissemination or other use of, ortaking of any action in reliance upon, this information by persons orentities other than the intended recipient is prohibited. If you receivedthis in error, please contact the sender and delete the material from anycomputer."
